index,source_id,category,subcategory,target_score,error_type,factor_error_subtype,expected_factor_scores,expected_action_lat,expected_action_lon,expected_action_strategy,expected_normalized_total_score,reference,candidate
1,1,obstacle_avoidance,dynamic_obstacle,5,complete,,[1.0],1.0,1.0,1.0,1.0,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。
2,1,obstacle_avoidance,dynamic_obstacle,4,generalized,,[0.0],1.0,1.0,0.0,0.5,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在障碍物影响通行，自车应向左避障。
3,1,obstacle_avoidance,dynamic_obstacle,3,missing_factor,,[0.5],1.0,1.0,0.0,0.625,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,自车当前在原车道正常行驶，自车应向左避障。
4,1,obstacle_avoidance,dynamic_obstacle,3,missing_factor,,[1.0],1.0,1.0,1.0,1.0,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方两个行人缓慢移动，自车应向左避障。
5,1,obstacle_avoidance,dynamic_obstacle,2.3,wrong_factor,same_category_subtype_swap,[0.75],1.0,1.0,0.0,0.6875,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,自车当前在原车道正常行驶，前方两个两轮骑行者缓慢移动，自车应向左避障。
6,1,obstacle_avoidance,dynamic_obstacle,1.7,wrong_factor,cross_category_swap,[0.0],1.0,1.0,0.0,0.5,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在车辆遮挡盲区，自车应向左避障。
7,1,obstacle_avoidance,dynamic_obstacle,1,unsafe_action,,[1.0],1.0,1.0,1.0,1.0,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向右避障。
8,2,blind_spot,combined_blind_spots,5,complete,,"[1.0, 1.0]",1.0,1.0,1.0,1.0,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。
9,2,blind_spot,combined_blind_spots,4,generalized,,"[0.25, 0.0]",1.0,1.0,1.0,0.65,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,前方存在盲区风险，自车应减速行驶通过。
10,2,blind_spot,combined_blind_spots,3,missing_factor,,"[1.0, 0.0]",1.0,1.0,1.0,0.8,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，自车应减速行驶通过。
11,2,blind_spot,combined_blind_spots,3,missing_factor,,"[0.0, 1.0]",1.0,1.0,1.0,0.8,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,左前方存在环岛盲区，自车应减速行驶通过。
12,2,blind_spot,combined_blind_spots,3,missing_factor,,"[0.5, 0.0]",1.0,1.0,1.0,0.7,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,前方存在盲区，自车应减速行驶通过。
13,2,blind_spot,combined_blind_spots,2.8,wrong_factor,direction_swap,"[1.0, 0.75]",1.0,1.0,1.0,0.95,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，右前方存在环岛盲区，自车应减速行驶通过。
14,2,blind_spot,combined_blind_spots,2.8,wrong_factor,direction_swap,"[0.75, 1.0]",1.0,1.0,1.0,0.95,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,左前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。
15,2,blind_spot,combined_blind_spots,2.3,wrong_factor,same_category_subtype_swap,"[1.0, 0.5]",1.0,1.0,1.0,0.9,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，左前方存在匝道盲区，自车应减速行驶通过。
16,2,blind_spot,combined_blind_spots,2.3,wrong_factor,same_category_subtype_swap,"[0.5, 1.0]",1.0,1.0,1.0,0.9,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在环岛盲区，左前方存在环岛盲区，自车应减速行驶通过。
17,2,blind_spot,combined_blind_spots,1.7,wrong_factor,cross_category_swap,"[1.0, 0.0]",1.0,1.0,1.0,0.8,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，左前方存在事故车占道，自车应减速行驶通过。
18,2,blind_spot,combined_blind_spots,1.7,wrong_factor,cross_category_swap,"[0.0, 1.0]",1.0,1.0,1.0,0.8,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在积水路面，左前方存在环岛盲区，自车应减速行驶通过。
19,2,blind_spot,combined_blind_spots,1.7,wrong_factor,cross_category_swap,"[0.0, 0.0]",1.0,1.0,1.0,0.6,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,前方存在锥桶占道，影响自车通行，自车应减速行驶通过。
20,2,blind_spot,combined_blind_spots,1,unsafe_action,,"[1.0, 1.0]",1.0,0.0,1.0,0.8,右前方存在匝道盲区，左前方存在环岛盲区，自车应减速行驶通过。,右前方存在匝道盲区，左前方存在环岛盲区，自车应加速通过。
21,3,blind_spot,single_blind_spot,5,complete,,[1.0],1.0,1.0,1.0,1.0,右前方存在弯道遮挡盲区，自车应减速行驶通过。,右前方存在弯道遮挡盲区，自车应减速行驶通过。
22,3,blind_spot,single_blind_spot,4,generalized,,[0.25],1.0,1.0,1.0,0.8125,右前方存在弯道遮挡盲区，自车应减速行驶通过。,前方存在盲区风险，自车应减速行驶通过。
23,3,blind_spot,single_blind_spot,3,missing_factor,,[0.5],1.0,1.0,1.0,0.875,右前方存在弯道遮挡盲区，自车应减速行驶通过。,前方存在盲区，自车应减速行驶通过。
24,3,blind_spot,single_blind_spot,2.8,wrong_factor,direction_swap,[0.75],1.0,1.0,1.0,0.9375,右前方存在弯道遮挡盲区，自车应减速行驶通过。,左前方存在弯道遮挡盲区，自车应减速行驶通过。
25,3,blind_spot,single_blind_spot,2.3,wrong_factor,same_category_subtype_swap,[0.5],1.0,1.0,1.0,0.875,右前方存在弯道遮挡盲区，自车应减速行驶通过。,右前方存在无灯路口盲区，自车应减速行驶通过。
26,3,blind_spot,single_blind_spot,1.7,wrong_factor,cross_category_swap,[0.0],1.0,1.0,1.0,0.75,右前方存在弯道遮挡盲区，自车应减速行驶通过。,右前方存在坑洼路面，自车应减速行驶通过。
27,3,blind_spot,single_blind_spot,1.7,wrong_factor,cross_category_swap,[0.0],1.0,1.0,1.0,0.75,右前方存在弯道遮挡盲区，自车应减速行驶通过。,前方存在锥桶占道，影响自车通行，自车应减速行驶通过。
28,3,blind_spot,single_blind_spot,1,unsafe_action,,[1.0],1.0,0.0,1.0,0.75,右前方存在弯道遮挡盲区，自车应减速行驶通过。,右前方存在弯道遮挡盲区，自车应加速通过。
