index,source_id,category,severity_level,error_type,num_added_factors,num_replaced_factors,num_deleted_factors,num_kept_factors,factor_changes,factor_score,provisional_score,reference,candidate
1,1,车辆行为,complete,complete,0,0,0,1,[],1.0,1.0,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。
2,1,车辆行为,mild,factor_only,0,1,0,0,"[{""change_type"": ""replace"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""一个行人缓慢移动""}, ""changed_fields"": [{""field"": ""detail"", ""from"": ""两个行人缓慢移动"", ""to"": ""一个行人缓慢移动""}], ""category_change_label"": ""category_unchanged"", ""detail_change_label"": ""detail_changed"", ""direction_change_label"": ""direction_unchanged"", ""note"": ""replaced_factor""}]",0.85,0.8875,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在一个行人缓慢移动，自车应在条件满足后避让。
3,1,车辆行为,medium,factor_and_action,1,1,0,0,"[{""change_type"": ""replace"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": {""position"": ""前方"", ""category"": ""盲区"", ""detail"": ""轻微环岛盲区""}, ""changed_fields"": [{""field"": ""category"", ""from"": ""车辆行为"", ""to"": ""盲区""}, {""field"": ""detail"", ""from"": ""两个行人缓慢移动"", ""to"": ""轻微环岛盲区""}], ""category_change_label"": ""super_category_changed"", ""detail_change_label"": ""detail_changed"", ""direction_change_label"": ""direction_unchanged"", ""note"": ""replaced_factor""}, {""change_type"": ""add"", ""factor_id"": ""add_1"", ""from"": null, ""to"": {""position"": ""左后方"", ""category"": ""障碍物"", ""detail"": ""三轮骑行者占道""}, ""note"": ""added_factor""}]",0.24,0.3467,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在轻微环岛盲区，左后方存在三轮骑行者占道，自车应在条件满足后避让并加速。
4,1,车辆行为,severe,factor_and_action,3,1,0,0,"[{""change_type"": ""replace"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": {""position"": ""前方"", ""category"": ""换道条件"", ""detail"": ""存在安全距离""}, ""changed_fields"": [{""field"": ""category"", ""from"": ""车辆行为"", ""to"": ""换道条件""}, {""field"": ""detail"", ""from"": ""两个行人缓慢移动"", ""to"": ""存在安全距离""}], ""category_change_label"": ""cross_category_changed"", ""detail_change_label"": ""detail_changed"", ""direction_change_label"": ""direction_unchanged"", ""note"": ""replaced_factor""}, {""change_type"": ""add"", ""factor_id"": ""add_1"", ""from"": null, ""to"": {""position"": ""前方"", ""category"": ""换道条件"", ""detail"": ""后方无来车""}, ""note"": ""added_factor""}, {""change_type"": ""add"", ""factor_id"": ""add_2"", ""from"": null, ""to"": {""position"": ""右后方"", ""category"": ""障碍物"", ""detail"": ""三轮骑行者占道""}, ""note"": ""added_factor""}, {""change_type"": ""add"", ""factor_id"": ""add_3"", ""from"": null, ""to"": {""position"": ""后方"", ""category"": ""交通信号"", ""detail"": ""直行箭头灯黄灯""}, ""note"": ""added_factor""}]",0.07,0.1358,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在安全距离，前方后方无来车，右后方存在三轮骑行者占道，后方存在直行箭头灯黄灯，自车应换道。
5,1,车辆行为,mild,factor_only,0,1,0,0,"[{""change_type"": ""replace"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": {""position"": ""右前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""changed_fields"": [{""field"": ""position"", ""from"": ""前方"", ""to"": ""右前方""}], ""category_change_label"": ""category_unchanged"", ""detail_change_label"": ""detail_unchanged"", ""direction_change_label"": ""direction_changed"", ""note"": ""replaced_factor""}]",0.65,0.7375,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,右前方存在两个行人缓慢移动，自车应在条件满足后避让。
6,1,车辆行为,medium,complete,0,0,0,1,[],1.0,1.0,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在两个行人缓慢移动，自车应在条件满足后避让。
7,1,车辆行为,severe,factor_and_action,1,0,0,1,"[{""change_type"": ""add"", ""factor_id"": ""add_1"", ""from"": null, ""to"": {""position"": ""前方"", ""category"": ""跟车"", ""detail"": ""前车起步""}, ""note"": ""added_factor""}]",0.94,0.705,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在两个行人缓慢移动，前方存在前车起步，自车应加速。
8,1,车辆行为,mild,action_only,0,0,0,1,[],1.0,0.9167,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在两个行人缓慢移动，自车应在条件满足后避让并加速。
9,1,车辆行为,medium,factor_and_action,1,0,1,0,"[{""change_type"": ""delete"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": null, ""note"": ""deleted_factor""}, {""change_type"": ""add"", ""factor_id"": ""add_1"", ""from"": null, ""to"": {""position"": ""右后方"", ""category"": ""路况"", ""detail"": ""湿滑路面""}, ""note"": ""added_factor""}]",0.0,0.1667,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,右后方存在湿滑路面，自车应避让。
10,1,车辆行为,severe,factor_and_action,0,1,0,0,"[{""change_type"": ""replace"", ""factor_id"": ""gt_1"", ""from"": {""position"": ""前方"", ""category"": ""车辆行为"", ""detail"": ""两个行人缓慢移动""}, ""to"": {""position"": ""前方"", ""category"": ""换道条件"", ""detail"": ""存在安全距离""}, ""changed_fields"": [{""field"": ""category"", ""from"": ""车辆行为"", ""to"": ""换道条件""}, {""field"": ""detail"", ""from"": ""两个行人缓慢移动"", ""to"": ""存在安全距离""}], ""category_change_label"": ""super_category_changed"", ""detail_change_label"": ""detail_changed"", ""direction_change_label"": ""direction_unchanged"", ""note"": ""replaced_factor""}]",0.45,0.4208,自车当前在原车道正常行驶，前方两个行人缓慢移动，自车应向左避障。,前方存在安全距离，自车应保持行驶。
